variable,corporate_unsecured_credit,corporate_secured_credit,corporate_sector_mortgages,household_unsecured_credit,household_secured_credit,households_residential_mortgages,corporate_unsecured_credit_rate,corporate_secured_credit_rate,corporate_mortage_rate,household_unsecured_credit_rate,household_secured_credit_rate,household_mortage_rate,land_weighted_temp_value,land_weighted_temp_shock,population_weighted_temp_value,population_weighted_temp_shock,land_weighted_precip_value,land_weighted_precip_shock,population_weighted_precip_value,population_weighted_precip_shock,miyajima_surprise,romer_surprise,target,forward_guidance,central_bank_information,country_risk
corporate_unsecured_credit,1,NA,NA,0.5775886938846297,NA,NA,0.6364715267286694,0.6540146727022631,-0.04478455449412851,0.7429344736565304,0.6771361415344702,-0.021645627471035774,0.007897402653656176,0.053011958492127365,0.00699576583603409,0.04995400708453084,-0.0074582871673360895,-0.016688772418148114,-0.006084576555503999,-0.013395390011658922,0.05158727228820043,-0.14710926781809758,0.002992854083163445,-0.017428216643013583,-0.11807437174471534,-0.024823006101454142
corporate_secured_credit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corporate_sector_mortgages,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
household_unsecured_credit,0.5775886938846297,NA,NA,0.9999999999999999,NA,NA,-0.059970105414449866,0.6143046124399313,-0.08840635395637876,0.7835092220227698,-0.14156154905352655,0.011464926114120335,0.04893000173765283,0.2857852966122564,0.042744622139930626,0.262168579428018,-0.05097468534876905,-0.13099603026653237,-0.03162676383334281,-0.08358036368847079,0.13027111397429403,-0.34657601091497925,-0.02423474815729327,0.026810099113534696,-0.26049455032477226,-0.0761812119742971
household_secured_credit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
households_residential_mortgages,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corporate_unsecured_credit_rate,0.6364715267286694,NA,NA,-0.059970105414449866,NA,NA,0.9999999999999999,0.31952364583211645,0.14468190546247225,0.22673195145792197,0.8082100563499782,0.12767449364906033,-0.02768440627114483,0.013457718915573779,-0.02573486008972922,0.01942346829830428,-0.02867519321277916,0.011830210747243731,-0.029251693332149307,0.007109585602226174,-0.04591729993650472,0.054992171872986106,-0.005035636329670344,0.011013195430941832,0.008515208906970089,3.9316088214378655e-4
corporate_secured_credit_rate,0.6540146727022631,NA,NA,0.6143046124399313,NA,NA,0.31952364583211645,0.9999999999999998,0.08436403898489289,0.6462922914181601,0.06497555457970376,0.0758344056791626,-3.550512771509635e-4,0.013742047414104532,-1.3764218830350383e-4,0.016039261331747916,-0.004342485323654582,-0.004248236241179503,-0.0067543053374802525,-0.009855360565849472,-0.043896401074067656,0.06686802110325328,-0.0024979534842574486,0.021724236948535668,0.012160443928458605,-0.0015850257681538978
corporate_mortage_rate,-0.04478455449412851,NA,NA,-0.08840635395637876,NA,NA,0.14468190546247225,0.08436403898489289,1,0.12105694510720132,0.07411208272087116,0.9741071905626867,-0.09278254245068421,0.25413126682788456,-0.09203559393367025,0.2705348150290951,-0.1195752912461329,0.07011028839499023,-0.13258389954085195,0.019744480956450632,-0.16228422202829018,0.1358814269272051,-0.2062227820552558,0.17216574293773396,0.11067490648448107,-0.030734063021651978
household_unsecured_credit_rate,0.7429344736565304,NA,NA,0.7835092220227698,NA,NA,0.22673195145792197,0.6462922914181601,0.12105694510720132,1,0.21440958930798032,0.1840088697616673,0.020844120133906487,0.11031850745747165,0.018526288231287203,0.10518720149960005,-0.0071086670846275575,-0.02374494920460365,-0.012810637210493993,-0.03737545787015217,0.08279932029092335,-0.10650404960533941,-0.09624752586589351,-0.023978611673224827,-0.01676705807375569,0.044135584727148756
household_secured_credit_rate,0.6771361415344702,NA,NA,-0.14156154905352655,NA,NA,0.8082100563499782,0.06497555457970376,0.07411208272087116,0.21440958930798032,1,0.09392765880468516,0.009202656073470053,0.0491958185099152,0.009100803960824673,0.048995414766763876,-0.004016144546120703,-0.01279789041713722,-0.008863159481169376,-0.02322769024669522,0.005914240239931336,0.003127731109327839,-0.01858257738263574,-0.004638927009626817,-0.014318464992836894,0.016616997615322628
household_mortage_rate,-0.021645627471035774,NA,NA,0.011464926114120335,NA,NA,0.12767449364906033,0.0758344056791626,0.9741071905626867,0.1840088697616673,0.09392765880468516,0.9999999999999999,-0.07123375041617666,0.32032342187182145,-0.07150891826283783,0.3371376443164169,-0.11945019836205166,0.03686619298287486,-0.1439457859039272,-0.036759333552032786,-0.1437414315883731,0.11646260743430747,-0.21110260438779282,0.14342674270273084,0.06163092850458145,0.005735666175321705
land_weighted_temp_value,0.007897402653656176,NA,NA,0.04893000173765283,NA,NA,-0.02768440627114483,-3.550512771509635e-4,-0.09278254245068421,0.020844120133906487,0.009202656073470053,-0.07123375041617666,1,0.15100157939530656,0.9977586455128492,0.13427029845339614,0.8655852176249834,-0.2352804919492736,0.8622801977565049,-0.20397088730221766,-0.008381644736422734,0.02686172383727797,-0.24293196994608912,0.15808796416505047,-0.031537194785064344,-0.015516684071280741
