variable,mean,median,sd,min,max,n
central_bank_information,-0.6869248057885126,-0.013858422785204596,5.581096055069416,-17.13769108282954,11.187189709575746,220
corporate_sector_mortgages,74.46607674167224,75.0916999613389,3.6545902431025956,49.11665445361868,77.8678431910988,220
corporate_sector_mortgages_rate,7.681292929292929,7.89,2.21591048865935,4.0600000000000005,13.22,165
corporate_secured_credit,71.37971267136612,71.75008271360443,3.276716612610145,47.64865384585062,73.75120106951275,220
corporate_secured_credit_rate,9.553604786868938,9.650998182925088,1.5150571935450856,3.296422517425691,13.116082062435233,165
corporate_unsecured_credit,75.9333772855124,76.66904961288887,3.422574896934556,51.284158469556075,78.18717018753664,220
corporate_unsecured_credit_rate,7.129097299820103,7.242211904018461,2.0275282097937537,0.997266243705391,10.45364558393861,165
country_risk,-0.04795356570402016,0.21452679507460634,4.482588808169456,-13.475138962899956,13.406344006688833,220
forward_guidance,-0.2157045809763561,-0.403090414024627,6.877025240031889,-23.315756814528182,21.24447689886771,220
household_secured_credit,73.56247939581792,74.14488281176659,3.5818156501706135,49.426123570765434,76.63357621944667,220
household_secured_credit_rate,10.869866196460734,11.042376339951845,1.2224841211237445,7.085566952814738,13.281536113107032,165
household_unsecured_credit,73.78614759486426,74.3224544913989,3.4502857636765,49.329015455431886,76.35478493018422,220
household_unsecured_credit_rate,13.082354700003563,14.08916862190744,2.360868918522057,5.5788539344635035,15.730340410043326,165
households_residential_mortgages,77.45857086418516,78.1829967594887,3.5356992651517514,51.64875311261878,80.11919041603389,220
households_residential_mortgages_rate,8.862242424242424,8.856666666666666,1.3788129769569841,6.56,12.86,165
land_weighted_precip_shock,-0.23338480019886,-0.14715223442691,0.9593370401697858,-3.244296767057015,1.5346939717345627,140
land_weighted_precip_value,161.18485714285714,125.72999999999999,98.40180493084725,22.259999999999998,315.42,140
land_weighted_temp_shock,0.09045548151454118,0.0696601502281565,0.15176571574852943,-0.21266383426252333,0.5238360789365222,140
land_weighted_temp_value,17.481333333333332,15.136666666666667,3.5188370290154936,12.743333333333334,22.669999999999998,140
miyajima_surprise,-0.010924144205706457,0.01567664731504188,0.25288627194421376,-0.773693931290177,0.9098488579853841,212
population_weighted_precip_shock,-0.16372786729528843,-0.19566065384654763,0.9756195534863717,-3.054802681748182,1.6905239279166262,140
population_weighted_precip_value,179.65142857142857,157.67000000000002,95.85582867760147,35.53,329.61,140
population_weighted_temp_shock,0.08705518886612665,0.07790574802093495,0.1521165906596417,-0.2165361237236979,0.5150623089477644,140
population_weighted_temp_value,17.942,16.07,3.061904570740203,13.73,22.596666666666668,140
romer_surprise,-0.004627931272796034,0.049810393772231676,0.45463548726600267,-1.7806325299718762,1.5331248585826958,200
target,2.5242535505841572,0.2817396970389797,14.296573004883,-46.930803669236354,44.69541301805692,220
