model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,MP shock (purged),0,8.42225075617262e-4,4.0168664490451906e-4,4.427646250118861e-4,0.0012416855262226377,1.81509340848096e-4,0.001502940810386428,184
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,Interaction (climate x MP),0,-0.001549627677086981,9.57024794928453e-4,-0.0025013485288307787,-5.979068253431833e-4,-0.0031237933821075354,2.453802793357337e-5,184
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,MP shock (purged),1,0.001402454204221734,5.714518512434727e-4,8.341694058778553e-4,0.0019707390025656127,4.624995540757752e-4,0.0023424088543676927,184
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,Interaction (climate x MP),1,-0.002824410379489923,0.0017935066595741822,-0.004607977215692659,-0.0010408435432871861,-0.005774466313452135,1.25645554472289e-4,184
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,MP shock (purged),2,6.292352377791602e-4,4.953648474785673e-4,1.3661576013910182e-4,0.0011218547154192185,-1.855674282602238e-4,0.0014440379038185443,184
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,Interaction (climate x MP),2,2.785295676814108e-4,0.0018649573993170753,-0.0015760920199198144,0.002133151155282636,-0.0027890523746952646,0.0033461115100580857,184
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,MP shock (purged),3,7.030854128752323e-4,5.646758625081332e-4,1.4153904994575238e-4,0.0012646317758047121,-2.2572372762322116e-4,0.0016318945533736857,184
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,Interaction (climate x MP),3,0.002539775165070048,0.0024408713451617597,1.1243141397314143e-4,0.004967118916166954,-0.0014751009199411892,0.006554651250081285,184
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,MP shock (purged),4,-7.262787119683735e-4,7.14323079801209e-4,-0.0014366429298353555,-1.591449410139154e-5,-0.0019012356205945376,4.4867819665779063e-4,184
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,Interaction (climate x MP),4,0.007482074690612602,0.003187998750253194,0.004311744201760472,0.010652405179464731,0.0022382833835418777,0.012725865997683326,184
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,MP shock (purged),5,-0.06903395656077577,0.07470799293689778,-0.14332790907565235,0.005259995954100802,-0.191917669705297,0.05384975658374547,184
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,Interaction (climate x MP),5,0.41852926812972785,0.3745947394942851,0.046010576430732086,0.7910479598287237,-0.19762424776438864,1.0346827840238444,184
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,MP shock (purged),6,-0.1357315053775026,0.12473328956563756,-0.25977350848473574,-0.01168950227026945,-0.34089950912112965,0.0694364983661245,180
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,Interaction (climate x MP),6,0.9722621724531025,0.9874722980643179,-0.009737438808209542,1.9542617837144145,-0.6519852185320952,2.5965095634383,180
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,MP shock (purged),7,-0.06255633654928053,0.07108434528376265,-0.13324672408952232,0.008134050990961275,-0.17947967970874823,0.05436700661018719,176
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,Interaction (climate x MP),7,0.4910216292904092,0.5373448274479212,-0.043345170367160624,1.025388428947979,-0.39283195906091667,1.3748752176417351,176
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,MP shock (purged),8,-0.06212964537755815,0.07754040037643596,-0.13924030779914542,0.014981017044029113,-0.18967225417200811,0.0654129634168918,172
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,Interaction (climate x MP),8,0.11287191887107498,0.20049972945177846,-0.08651661766366886,0.3122604554058188,-0.2169207883204716,0.4426646260626216,172
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,MP shock (purged),9,-0.042545563205365865,0.07392316879848794,-0.11605904116886745,0.030967914758135727,-0.1641383555193046,0.07904722910857287,168
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,Interaction (climate x MP),9,0.04811560813896608,0.1816657335296061,-0.13254331267863312,0.22877452895656525,-0.25069793255000605,0.34692914882793824,168
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,MP shock (purged),10,-0.0838304181271228,0.10742014437373817,-0.19065522751511654,0.022994391260870953,-0.2605208322079168,0.09285999595367114,164
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,Interaction (climate x MP),10,0.13472454156282507,0.22545307775833584,-0.08947904890785349,0.3589281320335036,-0.23611277109534576,0.5055618542209959,164
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,MP shock (purged),11,0.09298065240315728,0.0925672832450749,9.263878527824287e-4,0.18503491695353214,-0.05927897917954836,0.24524028398586292,160
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,Interaction (climate x MP),11,-0.03780558101828978,0.37312596819273447,-0.4088636415178262,0.33325247948124664,-0.6515431831098885,0.5759320210733089,160
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,MP shock (purged),12,5.344198581120731e-4,0.06312416672118895,-0.06223990535882104,0.06330874507504519,-0.10329559472152496,0.1043644344377491,156
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,Interaction (climate x MP),12,0.11779093552327667,0.3790445985417231,-0.25915295358461604,0.4947348246311694,-0.505681947164441,0.7412638182109944,156
