,ZAF
1940-01-01,20.39032258064516
1940-02-01,21.28103448275862
1940-03-01,19.565483870967743
1940-04-01,17.223666666666666
1940-05-01,13.94
1940-06-01,12.604000000000001
1940-07-01,11.79967741935484
1940-08-01,14.578387096774193
1940-09-01,16.976666666666667
1940-10-01,19.23032258064516
1940-11-01,21.277333333333335
1940-12-01,21.544838709677418
1941-01-01,22.29
1941-02-01,21.2575
1941-03-01,19.74290322580645
1941-04-01,19.037
1941-05-01,16.103870967741937
1941-06-01,12.821666666666665
1941-07-01,11.973225806451614
1941-08-01,15.905806451612902
1941-09-01,16.483
1941-10-01,19.84741935483871
1941-11-01,19.729
1941-12-01,20.721290322580646
1942-01-01,21.17967741935484
1942-02-01,20.371785714285714
1942-03-01,18.905806451612904
1942-04-01,17.039666666666665
1942-05-01,14.171290322580646
1942-06-01,12.934
1942-07-01,10.915161290322581
1942-08-01,13.56258064516129
1942-09-01,15.824666666666667
1942-10-01,17.655483870967743
1942-11-01,18.451
1942-12-01,18.948709677419355
1943-01-01,20.028709677419354
1943-02-01,19.418928571428573
1943-03-01,19.001612903225805
1943-04-01,17.56
1943-05-01,15.48741935483871
1943-06-01,12.331666666666667
1943-07-01,11.3
1943-08-01,12.016451612903225
1943-09-01,15.943999999999999
1943-10-01,17.49225806451613
1943-11-01,17.977333333333334
1943-12-01,18.830967741935485
1944-01-01,20.457741935483874
1944-02-01,18.71206896551724
1944-03-01,18.141935483870967
1944-04-01,16.479
1944-05-01,12.500967741935485
1944-06-01,11.2
1944-07-01,11.192258064516128
1944-08-01,14.61516129032258
1944-09-01,16.749
1944-10-01,19.75483870967742
1944-11-01,18.529666666666667
1944-12-01,19.580967741935485
1945-01-01,19.366774193548387
1945-02-01,20.579285714285714
1945-03-01,18.925483870967742
1945-04-01,17.765333333333334
1945-05-01,14.241290322580646
1945-06-01,10.695333333333334
1945-07-01,11.594193548387098
1945-08-01,13.751612903225807
1945-09-01,17.877333333333333
1945-10-01,18.93967741935484
1945-11-01,19.380999999999997
1945-12-01,19.918064516129032
1946-01-01,20.238709677419354
1946-02-01,20.548571428571428
1946-03-01,18.613870967741935
1946-04-01,17.048666666666666
1946-05-01,14.730967741935485
1946-06-01,10.722333333333333
1946-07-01,11.677096774193549
1946-08-01,12.926774193548388
1946-09-01,17.191666666666666
1946-10-01,18.436774193548384
1946-11-01,18.740000000000002
1946-12-01,20.603870967741937
1947-01-01,20.80290322580645
1947-02-01,19.964285714285715
1947-03-01,18.425483870967742
1947-04-01,16.53066666666667
1947-05-01,13.258387096774193
1947-06-01,11.315
1947-07-01,10.576451612903226
1947-08-01,13.805483870967743
1947-09-01,15.367666666666667
1947-10-01,18.990000000000002
1947-11-01,20.085666666666665
1947-12-01,19.299354838709675
1948-01-01,19.999032258064517
1948-02-01,19.986551724137932
1948-03-01,18.98774193548387
1948-04-01,15.979333333333333
1948-05-01,14.326451612903226
1948-06-01,11.528666666666668
1948-07-01,11.669032258064517
1948-08-01,13.119032258064516
1948-09-01,16.002666666666666
1948-10-01,17.546774193548387
1948-11-01,19.090333333333334
1948-12-01,20.496129032258064
1949-01-01,21.91774193548387
1949-02-01,21.027142857142856
1949-03-01,19.416774193548385
1949-04-01,17.264333333333333
1949-05-01,13.645483870967741
1949-06-01,11.909666666666668
1949-07-01,11.837741935483871
1949-08-01,14.19032258064516
1949-09-01,17.104666666666667
1949-10-01,18.636451612903226
1949-11-01,18.632
1949-12-01,20.491935483870968
1950-01-01,20.389354838709675
1950-02-01,20.51928571428571
1950-03-01,20.256451612903227
1950-04-01,17.081666666666667
