,ZAF
1963-04-01,67.85
1963-05-01,17.3
1963-06-01,48.9
1963-07-01,41.25
1963-08-01,9.02
1963-09-01,11.43
1963-10-01,102.27
1963-11-01,99.76
1963-12-01,49.77
1964-01-01,127.35
1964-02-01,68.45
1964-03-01,72.1
1964-04-01,38.4
1964-05-01,7.94
1964-06-01,23.21
1964-07-01,4.56
1964-08-01,13.32
1964-09-01,26.740000000000002
1964-10-01,115.27
1964-11-01,71.07
1964-12-01,129.33
1965-01-01,103.77
1965-02-01,63.410000000000004
1965-03-01,28.4
1965-04-01,44.13
1965-05-01,12.76
1965-06-01,28.169999999999998
1965-07-01,16.72
1965-08-01,14.72
1965-09-01,14.29
1965-10-01,29.99
1965-11-01,88.48
1965-12-01,45.53
1966-01-01,151.21
1966-02-01,120.79
1966-03-01,22.96
1966-04-01,28.79
1966-05-01,14.959999999999999
1966-06-01,10.26
1966-07-01,7.84
1966-08-01,13.75
1966-09-01,22.11
1966-10-01,68.67
1966-11-01,64.53
1966-12-01,139.82
1967-01-01,153.17000000000002
1967-02-01,151.10999999999999
1967-03-01,66.77
1967-04-01,94.91
1967-05-01,32.59
1967-06-01,12.35
1967-07-01,6.3100000000000005
1967-08-01,10.66
1967-09-01,12.87
1967-10-01,66.66
1967-11-01,95.54
1967-12-01,95.59
1968-01-01,79.45
1968-02-01,73.99
1968-03-01,119.78
1968-04-01,77.13
1968-05-01,47.25
1968-06-01,11.95
1968-07-01,13.05
1968-08-01,16.04
1968-09-01,14.57
1968-10-01,46.48
1968-11-01,50.21
1968-12-01,87.71
1969-01-01,69.6
1969-02-01,86.6
1969-03-01,118.44
1969-04-01,55.89
1969-05-01,49.69
1969-06-01,10.73
1969-07-01,9.77
1969-08-01,9.8
1969-09-01,30.95
1969-10-01,89.34
1969-11-01,55.23
1969-12-01,98.94
1970-01-01,105.91
1970-02-01,115.21
1970-03-01,46.81
1970-04-01,27.71
1970-05-01,22.61
1970-06-01,20.62
1970-07-01,24.77
1970-08-01,26.15
1970-09-01,42.09
1970-10-01,79.14
1970-11-01,75.75
1970-12-01,124.89999999999999
1971-01-01,158.1
1971-02-01,96.14999999999999
1971-03-01,71.97
1971-04-01,68.14
1971-05-01,34.56
1971-06-01,9.47
1971-07-01,17.9
1971-08-01,22.310000000000002
1971-09-01,30.35
1971-10-01,75.65
1971-11-01,97.77
1971-12-01,110.49
1972-01-01,177.78
1972-02-01,118.79
1972-03-01,119.31
1972-04-01,50.300000000000004
1972-05-01,17.53
1972-06-01,10.08
1972-07-01,6.61
1972-08-01,20.569999999999997
1972-09-01,22.64
1972-10-01,51.93
1972-11-01,68.71
1972-12-01,43.8
1973-01-01,86.21
1973-02-01,128.64
1973-03-01,79.64
1973-04-01,64.04
1973-05-01,15.1
1973-06-01,3.67
1973-07-01,11.7
1973-08-01,43.87
1973-09-01,72.23
1973-10-01,58.51
1973-11-01,113.83
1973-12-01,122.97
1974-01-01,154.55
1974-02-01,99.67999999999999
1974-03-01,89.89
1974-04-01,75.17
1974-05-01,27.87
1974-06-01,18.18
1974-07-01,10.17
1974-08-01,32.54
1974-09-01,17.009999999999998
1974-10-01,58.72
1974-11-01,162.58
1974-12-01,118.03
1975-01-01,131.73
1975-02-01,125.04
1975-03-01,76.42
1975-04-01,54.480000000000004
1975-05-01,30.6
1975-06-01,8.24
1975-07-01,13.09
1975-08-01,14.379999999999999
1975-09-01,48.83
1975-10-01,42.05
1975-11-01,121.26
1975-12-01,155.71
1976-01-01,157.97
1976-02-01,110.05
1976-03-01,124.82
1976-04-01,54.239999999999995
1976-05-01,46.910000000000004
1976-06-01,18.68
1976-07-01,13.37
1976-08-01,8.55
1976-09-01,43.36
1976-10-01,116.97
1976-11-01,80.55
1976-12-01,89.0
1977-01-01,129.86
1977-02-01,121.24
1977-03-01,113.42
1977-04-01,44.85
