,month,gadm0,pre
0,1990-01-01,ABW,44.96
1,1990-02-01,ABW,30.86
2,1990-03-01,ABW,15.72
3,1990-04-01,ABW,44.68
4,1990-05-01,ABW,47.04
5,1990-06-01,ABW,20.99
6,1990-07-01,ABW,35.56
7,1990-08-01,ABW,35.97
8,1990-09-01,ABW,75.83
9,1990-10-01,ABW,301.51
10,1990-11-01,ABW,100.92
11,1990-12-01,ABW,72.01
12,1991-01-01,ABW,48.97
13,1991-02-01,ABW,16.23
14,1991-03-01,ABW,24.74
15,1991-04-01,ABW,29.87
16,1991-05-01,ABW,9.92
17,1991-06-01,ABW,15.92
18,1991-07-01,ABW,27.02
19,1991-08-01,ABW,30.94
20,1991-09-01,ABW,54.41
21,1991-10-01,ABW,44.92
22,1991-11-01,ABW,133.68
23,1991-12-01,ABW,65.65
24,1992-01-01,ABW,18.05
25,1992-02-01,ABW,16.88
26,1992-03-01,ABW,11.04
27,1992-04-01,ABW,19.09
28,1992-05-01,ABW,49.25
29,1992-06-01,ABW,18.68
30,1992-07-01,ABW,32.17
31,1992-08-01,ABW,32.64
32,1992-09-01,ABW,80.82
33,1992-10-01,ABW,38.96
34,1992-11-01,ABW,122.85
35,1992-12-01,ABW,53.41
36,1993-01-01,ABW,32.88
37,1993-02-01,ABW,12.59
38,1993-03-01,ABW,16.6
39,1993-04-01,ABW,62.71
40,1993-05-01,ABW,120.73
41,1993-06-01,ABW,27.79
42,1993-07-01,ABW,27.81
43,1993-08-01,ABW,19.68
44,1993-09-01,ABW,104.54
45,1993-10-01,ABW,21.28
46,1993-11-01,ABW,119.01
47,1993-12-01,ABW,29.09
48,1994-01-01,ABW,26.83
49,1994-02-01,ABW,24.31
50,1994-03-01,ABW,13.78
51,1994-04-01,ABW,17.77
52,1994-05-01,ABW,7.82
53,1994-06-01,ABW,21.32
54,1994-07-01,ABW,40.22
55,1994-08-01,ABW,25.74
56,1994-09-01,ABW,19.41
57,1994-10-01,ABW,122.82
58,1994-11-01,ABW,98.88
59,1994-12-01,ABW,31.1
60,1995-01-01,ABW,19.66
61,1995-02-01,ABW,13.89
62,1995-03-01,ABW,52.58
63,1995-04-01,ABW,22.85
64,1995-05-01,ABW,10.08
65,1995-06-01,ABW,15.88
66,1995-07-01,ABW,46.83
67,1995-08-01,ABW,114.02
68,1995-09-01,ABW,109.23
69,1995-10-01,ABW,130.46
70,1995-11-01,ABW,57.99
71,1995-12-01,ABW,23.93
72,1996-01-01,ABW,35.37
73,1996-02-01,ABW,27.5
74,1996-03-01,ABW,10.24
75,1996-04-01,ABW,8.89
76,1996-05-01,ABW,22.92
77,1996-06-01,ABW,23.18
78,1996-07-01,ABW,40.72
79,1996-08-01,ABW,17.56
80,1996-09-01,ABW,36.49
81,1996-10-01,ABW,138.14
82,1996-11-01,ABW,115.06
83,1996-12-01,ABW,72.82
84,1997-01-01,ABW,53.32
85,1997-02-01,ABW,42.7
86,1997-03-01,ABW,15.31
87,1997-04-01,ABW,10.06
88,1997-05-01,ABW,7.82
89,1997-06-01,ABW,30.74
90,1997-07-01,ABW,17.26
91,1997-08-01,ABW,10.17
92,1997-09-01,ABW,44.36
93,1997-10-01,ABW,73.85
94,1997-11-01,ABW,74.68
95,1997-12-01,ABW,5.48
96,1998-01-01,ABW,11.68
97,1998-02-01,ABW,4.52
98,1998-03-01,ABW,3.06
99,1998-04-01,ABW,35.44
100,1998-05-01,ABW,33.28
101,1998-06-01,ABW,20.84
102,1998-07-01,ABW,32.17
103,1998-08-01,ABW,28.62
104,1998-09-01,ABW,97.75
105,1998-10-01,ABW,74.03
106,1998-11-01,ABW,70.69
107,1998-12-01,ABW,114.38
108,1999-01-01,ABW,44.55
109,1999-02-01,ABW,20.73
110,1999-03-01,ABW,18.3
111,1999-04-01,ABW,56.62
112,1999-05-01,ABW,32.68
113,1999-06-01,ABW,24.51
114,1999-07-01,ABW,24.75
115,1999-08-01,ABW,48.98
116,1999-09-01,ABW,155.5
117,1999-10-01,ABW,175.62
118,1999-11-01,ABW,179.05
119,1999-12-01,ABW,208.53
120,2000-01-01,ABW,100.84
121,2000-02-01,ABW,42.59
122,2000-03-01,ABW,22.49
123,2000-04-01,ABW,18.4
124,2000-05-01,ABW,13.14
125,2000-06-01,ABW,67.75
126,2000-07-01,ABW,36.92
127,2000-08-01,ABW,41.52
128,2000-09-01,ABW,77.86
129,2000-10-01,ABW,55.57
130,2000-11-01,ABW,171.27
131,2000-12-01,ABW,29.5
132,2001-01-01,ABW,19.1
133,2001-02-01,ABW,28.23
134,2001-03-01,ABW,4.35
135,2001-04-01,ABW,12.79
136,2001-05-01,ABW,31.66
137,2001-06-01,ABW,24.74
138,2001-07-01,ABW,21.94
139,2001-08-01,ABW,18.79
140,2001-09-01,ABW,24.66
141,2001-10-01,ABW,87.01
142,2001-11-01,ABW,56.65
143,2001-12-01,ABW,98.6
144,2002-01-01,ABW,45.03
145,2002-02-01,ABW,17.76
146,2002-03-01,ABW,18.38
147,2002-04-01,ABW,62.68
148,2002-05-01,ABW,35.07
149,2002-06-01,ABW,51.99
150,2002-07-01,ABW,17.75
151,2002-08-01,ABW,13.73
152,2002-09-01,ABW,84.08
153,2002-10-01,ABW,131.6
154,2002-11-01,ABW,50.84
155,2002-12-01,ABW,17.0
156,2003-01-01,ABW,14.9
157,2003-02-01,ABW,11.29
158,2003-03-01,ABW,5.56
159,2003-04-01,ABW,38.82
160,2003-05-01,ABW,12.65
161,2003-06-01,ABW,30.08
162,2003-07-01,ABW,46.29
163,2003-08-01,ABW,25.31
164,2003-09-01,ABW,52.01
165,2003-10-01,ABW,120.99
166,2003-11-01,ABW,191.88
167,2003-12-01,ABW,104.15
168,2004-01-01,ABW,44.47
