,ZAF
1963-08-01,13.86
1963-09-01,15.79
1963-10-01,89.66
1963-11-01,84.87
1963-12-01,56.83
1964-01-01,143.52
1964-02-01,77.86
1964-03-01,71.53999999999999
1964-04-01,46.11
1964-05-01,14.31
1964-06-01,31.83
1964-07-01,9.87
1964-08-01,19.46
1964-09-01,33.47
1964-10-01,104.3
1964-11-01,71.8
1964-12-01,129.64000000000001
1965-01-01,86.57
1965-02-01,66.35
1965-03-01,30.89
1965-04-01,48.92
1965-05-01,22.44
1965-06-01,36.949999999999996
1965-07-01,22.39
1965-08-01,25.13
1965-09-01,21.35
1965-10-01,37.88
1965-11-01,83.45
1965-12-01,48.6
1966-01-01,140.99
1966-02-01,119.92
1966-03-01,26.759999999999998
1966-04-01,30.72
1966-05-01,21.42
1966-06-01,13.25
1966-07-01,16.64
1966-08-01,18.97
1966-09-01,27.25
1966-10-01,70.15
1966-11-01,73.23
1966-12-01,132.7
1967-01-01,131.71
1967-02-01,141.59
1967-03-01,71.91
1967-04-01,93.66
1967-05-01,30.740000000000002
1967-06-01,21.25
1967-07-01,11.57
1967-08-01,14.2
1967-09-01,17.03
1967-10-01,63.2
1967-11-01,99.63
1967-12-01,95.12
1968-01-01,82.38
1968-02-01,79.78
1968-03-01,111.47
1968-04-01,71.27
1968-05-01,43.44
1968-06-01,18.8
1968-07-01,23.18
1968-08-01,23.5
1968-09-01,22.720000000000002
1968-10-01,50.73
1968-11-01,58.19
1968-12-01,88.22
1969-01-01,79.95
1969-02-01,86.88
1969-03-01,128.45
1969-04-01,57.339999999999996
1969-05-01,48.91
1969-06-01,18.86
1969-07-01,15.19
1969-08-01,17.08
1969-09-01,42.11
1969-10-01,100.72
1969-11-01,64.86
1969-12-01,114.49
1970-01-01,96.81
1970-02-01,106.38
1970-03-01,45.660000000000004
1970-04-01,30.3
1970-05-01,32.06
1970-06-01,28.4
1970-07-01,27.4
1970-08-01,42.089999999999996
1970-09-01,43.87
1970-10-01,95.34
1970-11-01,83.07
1970-12-01,118.33
1971-01-01,147.05
1971-02-01,90.78
1971-03-01,67.72
1971-04-01,65.7
1971-05-01,45.98
1971-06-01,16.16
1971-07-01,30.060000000000002
1971-08-01,35.230000000000004
1971-09-01,39.0
1971-10-01,73.55
1971-11-01,90.89
1971-12-01,105.66
1972-01-01,159.73
1972-02-01,134.0
1972-03-01,108.27
1972-04-01,56.42
1972-05-01,29.3
1972-06-01,14.45
1972-07-01,12.34
1972-08-01,25.27
1972-09-01,24.49
1972-10-01,48.49
1972-11-01,68.66
1972-12-01,52.04
1973-01-01,88.93
1973-02-01,119.11
1973-03-01,81.56
1973-04-01,69.64
1973-05-01,23.38
1973-06-01,5.92
1973-07-01,20.5
1973-08-01,47.6
1973-09-01,91.93
1973-10-01,68.61
1973-11-01,113.11999999999999
1973-12-01,120.88
1974-01-01,134.96
1974-02-01,94.75
1974-03-01,90.5
1974-04-01,75.84
1974-05-01,37.72
1974-06-01,28.15
1974-07-01,15.57
1974-08-01,39.88
1974-09-01,21.43
1974-10-01,59.85
1974-11-01,145.27
1974-12-01,130.82
1975-01-01,127.03
1975-02-01,130.19
1975-03-01,75.31
1975-04-01,67.04
1975-05-01,42.379999999999995
1975-06-01,11.92
1975-07-01,21.0
1975-08-01,18.94
1975-09-01,56.300000000000004
1975-10-01,42.38
1975-11-01,120.8
1975-12-01,147.78
1976-01-01,156.95
1976-02-01,114.0
1976-03-01,120.42
1976-04-01,54.07
1976-05-01,55.68000000000001
1976-06-01,29.26
1976-07-01,22.46
1976-08-01,14.21
1976-09-01,38.18
1976-10-01,111.03
1976-11-01,91.92999999999999
1976-12-01,93.92
1977-01-01,122.59
