,month,gadm0,tmp
0,1990-01-01,ABW,25.31
1,1990-02-01,ABW,24.68
2,1990-03-01,ABW,25.03
3,1990-04-01,ABW,25.7
4,1990-05-01,ABW,26.5
5,1990-06-01,ABW,27.05
6,1990-07-01,ABW,26.85
7,1990-08-01,ABW,27.33
8,1990-09-01,ABW,27.92
9,1990-10-01,ABW,27.1
10,1990-11-01,ABW,27.11
11,1990-12-01,ABW,25.85
12,1991-01-01,ABW,25.58
13,1991-02-01,ABW,25.39
14,1991-03-01,ABW,25.44
15,1991-04-01,ABW,25.89
16,1991-05-01,ABW,26.58
17,1991-06-01,ABW,26.6
18,1991-07-01,ABW,26.7
19,1991-08-01,ABW,27.22
20,1991-09-01,ABW,27.19
21,1991-10-01,ABW,27.16
22,1991-11-01,ABW,26.44
23,1991-12-01,ABW,25.57
24,1992-01-01,ABW,25.54
25,1992-02-01,ABW,25.39
26,1992-03-01,ABW,25.43
27,1992-04-01,ABW,26.17
28,1992-05-01,ABW,26.81
29,1992-06-01,ABW,27.3
30,1992-07-01,ABW,26.61
31,1992-08-01,ABW,27.1
32,1992-09-01,ABW,27.18
33,1992-10-01,ABW,27.52
34,1992-11-01,ABW,26.44
35,1992-12-01,ABW,26.15
36,1993-01-01,ABW,25.59
37,1993-02-01,ABW,25.41
38,1993-03-01,ABW,25.7
39,1993-04-01,ABW,26.5
40,1993-05-01,ABW,27.15
41,1993-06-01,ABW,27.46
42,1993-07-01,ABW,27.07
43,1993-08-01,ABW,27.06
44,1993-09-01,ABW,27.29
45,1993-10-01,ABW,27.15
46,1993-11-01,ABW,26.62
47,1993-12-01,ABW,26.24
48,1994-01-01,ABW,25.51
49,1994-02-01,ABW,25.12
50,1994-03-01,ABW,25.56
51,1994-04-01,ABW,25.89
52,1994-05-01,ABW,26.46
53,1994-06-01,ABW,26.48
54,1994-07-01,ABW,26.37
55,1994-08-01,ABW,26.72
56,1994-09-01,ABW,27.25
57,1994-10-01,ABW,26.84
58,1994-11-01,ABW,26.99
59,1994-12-01,ABW,26.35
60,1995-01-01,ABW,26.13
61,1995-02-01,ABW,26.04
62,1995-03-01,ABW,25.92
63,1995-04-01,ABW,26.55
64,1995-05-01,ABW,27.07
65,1995-06-01,ABW,27.02
66,1995-07-01,ABW,27.12
67,1995-08-01,ABW,27.67
68,1995-09-01,ABW,28.2
69,1995-10-01,ABW,27.47
70,1995-11-01,ABW,26.92
71,1995-12-01,ABW,26.41
72,1996-01-01,ABW,25.7
73,1996-02-01,ABW,25.86
74,1996-03-01,ABW,25.95
75,1996-04-01,ABW,26.08
76,1996-05-01,ABW,26.21
77,1996-06-01,ABW,26.85
78,1996-07-01,ABW,26.82
