,month,gadm0,pre
164,2003-09-01,ABW,52.06
165,2003-10-01,ABW,120.92
166,2003-11-01,ABW,191.9
167,2003-12-01,ABW,104.17
168,2004-01-01,ABW,44.49
169,2004-02-01,ABW,25.42
170,2004-03-01,ABW,35.53
171,2004-04-01,ABW,71.3
172,2004-05-01,ABW,118.84
173,2004-06-01,ABW,32.26
174,2004-07-01,ABW,21.84
175,2004-08-01,ABW,12.94
176,2004-09-01,ABW,194.49
177,2004-10-01,ABW,163.86
178,2004-11-01,ABW,334.88
179,2004-12-01,ABW,59.09
180,2005-01-01,ABW,135.4
181,2005-02-01,ABW,30.71
182,2005-03-01,ABW,11.94
183,2005-04-01,ABW,18.81
184,2005-05-01,ABW,108.24
185,2005-06-01,ABW,70.14
186,2005-07-01,ABW,29.67
187,2005-08-01,ABW,39.76
188,2005-09-01,ABW,61.25
189,2005-10-01,ABW,163.51
190,2005-11-01,ABW,171.25
191,2005-12-01,ABW,51.16
192,2006-01-01,ABW,111.2
193,2006-02-01,ABW,22.44
194,2006-03-01,ABW,25.4
195,2006-04-01,ABW,24.27
196,2006-05-01,ABW,27.15
197,2006-06-01,ABW,14.81
198,2006-07-01,ABW,44.71
199,2006-08-01,ABW,39.91
200,2006-09-01,ABW,19.82
201,2006-10-01,ABW,108.98
202,2006-11-01,ABW,77.85
203,2006-12-01,ABW,64.6
204,2007-01-01,ABW,33.62
205,2007-02-01,ABW,10.95
206,2007-03-01,ABW,11.96
207,2007-04-01,ABW,27.9
208,2007-05-01,ABW,32.08
209,2007-06-01,ABW,19.83
210,2007-07-01,ABW,23.15
211,2007-08-01,ABW,74.41
212,2007-09-01,ABW,39.6
213,2007-10-01,ABW,206.31
214,2007-11-01,ABW,92.05
215,2007-12-01,ABW,119.57
216,2008-01-01,ABW,35.92
217,2008-02-01,ABW,21.73
218,2008-03-01,ABW,19.28
219,2008-04-01,ABW,16.87
220,2008-05-01,ABW,13.68
221,2008-06-01,ABW,38.17
222,2008-07-01,ABW,52.05
223,2008-08-01,ABW,81.39
224,2008-09-01,ABW,102.88
225,2008-10-01,ABW,363.03
226,2008-11-01,ABW,260.23
227,2008-12-01,ABW,99.26
228,2009-01-01,ABW,51.8
229,2009-02-01,ABW,61.44
230,2009-03-01,ABW,33.78
231,2009-04-01,ABW,15.99
232,2009-05-01,ABW,30.6
233,2009-06-01,ABW,3.21
234,2009-07-01,ABW,30.08
235,2009-08-01,ABW,30.85
236,2009-09-01,ABW,29.25
237,2009-10-01,ABW,41.28
238,2009-11-01,ABW,118.67
239,2009-12-01,ABW,35.69
240,2010-01-01,ABW,15.98
241,2010-02-01,ABW,4.3
242,2010-03-01,ABW,16.53
243,2010-04-01,ABW,52.58
244,2010-05-01,ABW,54.41
245,2010-06-01,ABW,83.16
246,2010-07-01,ABW,82.95
247,2010-08-01,ABW,55.5
248,2010-09-01,ABW,242.3
249,2010-10-01,ABW,200.02
250,2010-11-01,ABW,390.95
251,2010-12-01,ABW,196.5
252,2011-01-01,ABW,59.51
253,2011-02-01,ABW,51.05
254,2011-03-01,ABW,27.4
255,2011-04-01,ABW,37.16
256,2011-05-01,ABW,93.09
257,2011-06-01,ABW,63.38
258,2011-07-01,ABW,19.63
259,2011-08-01,ABW,40.28
260,2011-09-01,ABW,89.03
261,2011-10-01,ABW,186.43
262,2011-11-01,ABW,280.93
263,2011-12-01,ABW,212.39
264,2012-01-01,ABW,41.68
265,2012-02-01,ABW,20.76
266,2012-03-01,ABW,39.83
267,2012-04-01,ABW,44.7
268,2012-05-01,ABW,24.28
269,2012-06-01,ABW,8.25
270,2012-07-01,ABW,27.78
271,2012-08-01,ABW,23.21
272,2012-09-01,ABW,25.06
273,2012-10-01,ABW,182.44
274,2012-11-01,ABW,84.14
275,2012-12-01,ABW,99.85
276,2013-01-01,ABW,29.06
277,2013-02-01,ABW,31.36
278,2013-03-01,ABW,25.27
279,2013-04-01,ABW,24.88
280,2013-05-01,ABW,27.02
281,2013-06-01,ABW,17.59
282,2013-07-01,ABW,15.05
283,2013-08-01,ABW,37.28
284,2013-09-01,ABW,59.23
285,2013-10-01,ABW,57.77
286,2013-11-01,ABW,96.24
287,2013-12-01,ABW,70.86
288,2014-01-01,ABW,27.27
289,2014-02-01,ABW,15.78
290,2014-03-01,ABW,13.61
291,2014-04-01,ABW,10.71
292,2014-05-01,ABW,21.88
293,2014-06-01,ABW,16.13
294,2014-07-01,ABW,17.95
295,2014-08-01,ABW,18.4
296,2014-09-01,ABW,45.22
297,2014-10-01,ABW,50.26
298,2014-11-01,ABW,105.49
299,2014-12-01,ABW,61.56
300,2015-01-01,ABW,31.69
301,2015-02-01,ABW,17.47
302,2015-03-01,ABW,28.12
303,2015-04-01,ABW,10.38
304,2015-05-01,ABW,12.02
305,2015-06-01,ABW,7.43
306,2015-07-01,ABW,16.74
307,2015-08-01,ABW,5.67
308,2015-09-01,ABW,14.15
309,2015-10-01,ABW,57.03
310,2015-11-01,ABW,81.43
311,2015-12-01,ABW,21.95
312,2016-01-01,ABW,17.41
313,2016-02-01,ABW,7.83
314,2016-03-01,ABW,13.77
315,2016-04-01,ABW,11.75
316,2016-05-01,ABW,24.11
317,2016-06-01,ABW,19.38
318,2016-07-01,ABW,34.61
319,2016-08-01,ABW,9.43
320,2016-09-01,ABW,70.45
321,2016-10-01,ABW,85.45
322,2016-11-01,ABW,367.42
323,2016-12-01,ABW,128.61
324,2017-01-01,ABW,48.85
325,2017-02-01,ABW,22.11
326,2017-03-01,ABW,31.24
327,2017-04-01,ABW,18.1
328,2017-05-01,ABW,41.52
329,2017-06-01,ABW,26.7
330,2017-07-01,ABW,25.4
331,2017-08-01,ABW,29.81
332,2017-09-01,ABW,58.51
333,2017-10-01,ABW,65.85
334,2017-11-01,ABW,75.25
335,2017-12-01,ABW,85.59
336,1990-01-01,AFG,90.96
337,1990-02-01,AFG,86.02
338,1990-03-01,AFG,59.86
339,1990-04-01,AFG,75.1
340,1990-05-01,AFG,20.24
341,1990-06-01,AFG,16.06
342,1990-07-01,AFG,11.47
343,1990-08-01,AFG,18.35
344,1990-09-01,AFG,7.57
345,1990-10-01,AFG,10.01
346,1990-11-01,AFG,7.51
347,1990-12-01,AFG,60.47
348,1991-01-01,AFG,82.4
349,1991-02-01,AFG,72.94
350,1991-03-01,AFG,128.94
351,1991-04-01,AFG,96.6
352,1991-05-01,AFG,87.75
353,1991-06-01,AFG,15.33
354,1991-07-01,AFG,15.18
355,1991-08-01,AFG,11.72
356,1991-09-01,AFG,24.6
357,1991-10-01,AFG,8.38
358,1991-11-01,AFG,21.77
359,1991-12-01,AFG,54.4
360,1992-01-01,AFG,84.81
361,1992-02-01,AFG,59.77
362,1992-03-01,AFG,80.29
363,1992-04-01,AFG,112.03
364,1992-05-01,AFG,64.32
365,1992-06-01,AFG,15.22
366,1992-07-01,AFG,17.37
367,1992-08-01,AFG,17.21
368,1992-09-01,AFG,7.89
369,1992-10-01,AFG,11.34
370,1992-11-01,AFG,19.98
371,1992-12-01,AFG,78.25
372,1993-01-01,AFG,41.47
373,1993-02-01,AFG,62.44
374,1993-03-01,AFG,116.21
375,1993-04-01,AFG,53.06
376,1993-05-01,AFG,57.71
377,1993-06-01,AFG,19.3
378,1993-07-01,AFG,25.17
379,1993-08-01,AFG,8.63
380,1993-09-01,AFG,6.15
381,1993-10-01,AFG,8.59
382,1993-11-01,AFG,30.55
383,1993-12-01,AFG,21.7
384,1994-01-01,AFG,56.46
385,1994-02-01,AFG,59.62
386,1994-03-01,AFG,69.17
387,1994-04-01,AFG,57.04
388,1994-05-01,AFG,37.26
389,1994-06-01,AFG,15.14
390,1994-07-01,AFG,39.21
391,1994-08-01,AFG,19.61
392,1994-09-01,AFG,12.08
393,1994-10-01,AFG,30.19
394,1994-11-01,AFG,14.83
395,1994-12-01,AFG,55.83
396,1995-01-01,AFG,25.72
397,1995-02-01,AFG,59.2
398,1995-03-01,AFG,89.89
399,1995-04-01,AFG,90.98
400,1995-05-01,AFG,39.53
401,1995-06-01,AFG,17.82
402,1995-07-01,AFG,38.86
403,1995-08-01,AFG,17.25
404,1995-09-01,AFG,8.44
405,1995-10-01,AFG,18.67
406,1995-11-01,AFG,9.23
407,1995-12-01,AFG,37.37
408,1996-01-01,AFG,26.38
409,1996-02-01,AFG,74.98
410,1996-03-01,AFG,134.46
411,1996-04-01,AFG,60.13
412,1996-05-01,AFG,42.06
413,1996-06-01,AFG,20.81
414,1996-07-01,AFG,16.07
415,1996-08-01,AFG,15.45
416,1996-09-01,AFG,4.93
417,1996-10-01,AFG,23.61
418,1996-11-01,AFG,13.43
419,1996-12-01,AFG,4.34
420,1997-01-01,AFG,42.59
421,1997-02-01,AFG,44.77
422,1997-03-01,AFG,123.71
423,1997-04-01,AFG,82.9
424,1997-05-01,AFG,50.84
425,1997-06-01,AFG,25.19
426,1997-07-01,AFG,14.88
427,1997-08-01,AFG,12.91
428,1997-09-01,AFG,5.19
429,1997-10-01,AFG,27.85
430,1997-11-01,AFG,25.84
431,1997-12-01,AFG,45.34
432,1998-01-01,AFG,83.72
433,1998-02-01,AFG,84.83
434,1998-03-01,AFG,74.53
435,1998-04-01,AFG,83.81
436,1998-05-01,AFG,64.3
437,1998-06-01,AFG,28.32
438,1998-07-01,AFG,22.09
439,1998-08-01,AFG,21.81
440,1998-09-01,AFG,8.84
441,1998-10-01,AFG,4.99
442,1998-11-01,AFG,1.94
443,1998-12-01,AFG,5.61
444,1999-01-01,AFG,50.88
445,1999-02-01,AFG,82.1
446,1999-03-01,AFG,88.7
447,1999-04-01,AFG,42.95
448,1999-05-01,AFG,24.99
449,1999-06-01,AFG,8.84
450,1999-07-01,AFG,22.63
451,1999-08-01,AFG,15.48
452,1999-09-01,AFG,22.23
453,1999-10-01,AFG,4.94
454,1999-11-01,AFG,51.6
455,1999-12-01,AFG,4.84
456,2000-01-01,AFG,43.73
457,2000-02-01,AFG,31.06
458,2000-03-01,AFG,37.82
459,2000-04-01,AFG,21.11
460,2000-05-01,AFG,8.06
461,2000-06-01,AFG,11.41
462,2000-07-01,AFG,14.1
463,2000-08-01,AFG,9.66
464,2000-09-01,AFG,9.96
465,2000-10-01,AFG,14.51
466,2000-11-01,AFG,31.22
467,2000-12-01,AFG,39.0
468,2001-01-01,AFG,26.46
469,2001-02-01,AFG,27.84
470,2001-03-01,AFG,51.09
471,2001-04-01,AFG,28.11
472,2001-05-01,AFG,9.13
473,2001-06-01,AFG,12.04
474,2001-07-01,AFG,21.18
475,2001-08-01,AFG,15.33
476,2001-09-01,AFG,7.04
477,2001-10-01,AFG,8.29
478,2001-11-01,AFG,18.2
479,2001-12-01,AFG,36.74
480,2002-01-01,AFG,44.17
481,2002-02-01,AFG,57.84
482,2002-03-01,AFG,44.47
483,2002-04-01,AFG,85.9
484,2002-05-01,AFG,36.1
485,2002-06-01,AFG,15.29
486,2002-07-01,AFG,10.26
487,2002-08-01,AFG,15.82
488,2002-09-01,AFG,6.39
489,2002-10-01,AFG,4.04
